region,anzsic_descriptor,anzsic_descriptor2,category,gas,units,magnitude,year,data_val
Bay of Plenty,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,168.53
Bay of Plenty,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,164.44
Bay of Plenty,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,169.19
Bay of Plenty,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,172.77
Bay of Plenty,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,186.45
Bay of Plenty,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,186.39
Bay of Plenty,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,179.51
Bay of Plenty,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,204.79
Bay of Plenty,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,198.55
Bay of Plenty,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2021,209.07
Canterbury,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,286.5
Canterbury,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,305.23
Canterbury,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,314.83
Canterbury,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,305.7
Canterbury,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,298.63
Canterbury,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,310.56
Canterbury,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,308.84
Canterbury,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,322.27
Canterbury,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,314.11
Canterbury,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,316.97
Canterbury,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,317.42
Canterbury,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,302.69
Canterbury,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,324.49
Canterbury,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,310.76
Canterbury,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2021,313.88
Gisborne,"Services excluding transport, postal, and warehousing",Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,19.53
